relative_path,family,binary_label,layer,subdirectory,filename,extension,size_bytes,format,magic,version,linktype,linktype_name,snaplen,packets,bytes_wire,avg_packet_size_bytes,duration_sec,first_ts_iso,last_ts_iso,truncated_tail_bytes,n_bad_incl,n_orig_lt_incl,error
Legitimate traffic\Legitimate traffic\Constant Packet size and IDP\Constant Packet size and IDP_1st\Constant Packet size and IDP_1-1.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and IDP/Constant Packet size and IDP_1st,Constant Packet size and IDP_1-1.pcap,.pcap,1260895866,pcap,d4c3b2a1,2.4,1,Ethernet,262144,2192413,1225817234,559.12,192.014,2022-05-03T06:01:09.472635+00:00,2022-05-03T06:04:21.486406+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and IDP\Constant Packet size and IDP_1st\Constant Packet size and IDP_1-2.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and IDP/Constant Packet size and IDP_1st,Constant Packet size and IDP_1-2.pcap,.pcap,1203029772,pcap,d4c3b2a1,2.4,1,Ethernet,262144,2192414,1167951124,532.72,223.969,2022-05-03T06:04:21.486523+00:00,2022-05-03T06:08:05.455907+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and IDP\Constant Packet size and IDP_2nd\Constant Packet size and IDP_2-1.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and IDP/Constant Packet size and IDP_2nd,Constant Packet size and IDP_2-1.pcap,.pcap,2112642320,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3709286,2053293720,553.55,430.271,2022-05-03T06:51:01.794962+00:00,2022-05-03T06:58:12.066233+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and IDP\Constant Packet size and IDP_2nd\Constant Packet size and IDP_2-2.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and IDP/Constant Packet size and IDP_2nd,Constant Packet size and IDP_2-2.pcap,.pcap,2076023446,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3709286,2016674846,543.68,437.069,2022-05-03T07:04:22.223460+00:00,2022-05-03T07:11:39.292183+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and IDP\Constant Packet size and IDP_2nd\Constant Packet size and IDP_2-3.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and IDP/Constant Packet size and IDP_2nd,Constant Packet size and IDP_2-3.pcap,.pcap,2055940134,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3709286,1996591534,538.27,370.157,2022-05-03T06:58:12.066233+00:00,2022-05-03T07:04:22.223459+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and poisson distributed IDP\Constant Packet size and poisson distributed IDP_1-1.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and poisson distributed IDP,Constant Packet size and poisson distributed IDP_1-1.pcap,.pcap,2157369366,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3827676,2096126526,547.62,426.83,2022-05-03T08:29:21.252162+00:00,2022-05-03T08:36:28.082607+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and poisson distributed IDP\Constant Packet size and poisson distributed IDP_1-2.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and poisson distributed IDP,Constant Packet size and poisson distributed IDP_1-2.pcap,.pcap,2161488164,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3827675,2100245340,548.7,420.974,2022-05-03T08:36:28.082607+00:00,2022-05-03T08:43:29.056823+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and Uniformly distributed IDP\Constant Packet size and Uniformly distributed IDP_1-1.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and Uniformly distributed IDP,Constant Packet size and Uniformly distributed IDP_1-1.pcap,.pcap,2433628484,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3527237,2377192668,673.95,555.827,2022-05-03T08:48:23.113866+00:00,2022-05-03T08:57:38.940386+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and Uniformly distributed IDP\Constant Packet size and Uniformly distributed IDP_1-2.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and Uniformly distributed IDP,Constant Packet size and Uniformly distributed IDP_1-2.pcap,.pcap,2441229134,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3527237,2384793318,676.11,558.186,2022-05-03T08:57:38.940407+00:00,2022-05-03T09:06:57.126080+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\Constant Packet size and Uniformly distributed IDP\Constant Packet size and Uniformly distributed IDP_1-3.pcap,benign,benign,benign,Legitimate traffic/Constant Packet size and Uniformly distributed IDP,Constant Packet size and Uniformly distributed IDP_1-3.pcap,.pcap,2448151314,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3527237,2391715498,678.07,637.831,2022-05-03T09:06:57.126080+00:00,2022-05-03T09:17:34.957129+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\HTTPERF\httperf_1st.pcap,benign,benign,benign,Legitimate traffic/HTTPERF,httperf_1st.pcap,.pcap,212514076,pcap,d4c3b2a1,2.4,1,Ethernet,262144,361342,206732580,572.12,202.939,2022-03-29T10:15:55.489648+00:00,2022-03-29T10:19:18.428744+00:00,0,0,0,
Legitimate traffic\Legitimate traffic\HTTPERF\httperf_2nd.pcap,benign,benign,benign,Legitimate traffic/HTTPERF,httperf_2nd.pcap,.pcap,148541310,pcap,d4c3b2a1,2.4,1,Ethernet,262144,256353,144439638,563.44,193.302,2022-05-03T11:01:05.416237+00:00,2022-05-03T11:04:18.718561+00:00,0,0,0,
TCP-RST\TCP-RST\TCP-RST.pcap,tcp_rst,attack,transport,TCP-RST,TCP-RST.pcap,.pcap,315976348,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3291454,263313060,80.0,45.944,2022-04-01T06:23:33.083827+00:00,2022-04-01T06:24:19.027417+00:00,0,0,0,
TCP-SYN-fast\TCP-SYN-fast\tcp syn fast_1st.pcap,tcp_syn_fast,attack,transport,TCP-SYN-fast,tcp syn fast_1st.pcap,.pcap,7552082,pcap,d4c3b2a1,2.4,1,Ethernet,262144,96447,6008906,62.3,407.238,2022-03-17T06:49:54.950464+00:00,2022-03-17T06:56:42.188056+00:00,0,0,0,
TCP-SYN-fast\TCP-SYN-fast\tcp syn fast_2nd.pcap,tcp_syn_fast,attack,transport,TCP-SYN-fast,tcp syn fast_2nd.pcap,.pcap,7556754,pcap,d4c3b2a1,2.4,1,Ethernet,262144,96477,6013098,62.33,431.556,2022-05-04T09:20:58.050095+00:00,2022-05-04T09:28:09.605812+00:00,0,0,0,
TCP-SYN-fast\TCP-SYN-fast\tcp syn fast_3rd.pcap,tcp_syn_fast,attack,transport,TCP-SYN-fast,tcp syn fast_3rd.pcap,.pcap,7553324,pcap,d4c3b2a1,2.4,1,Ethernet,262144,96450,6010100,62.31,415.973,2022-05-04T09:30:13.613826+00:00,2022-05-04T09:37:09.586605+00:00,0,0,0,
TCP-SYN-flood\TCP-SYN-flood\tcp syn flood.pcap,tcp_syn_flood,attack,transport,TCP-SYN-flood,tcp syn flood.pcap,.pcap,377493090,pcap,d4c3b2a1,2.4,1,Ethernet,262144,4268670,309194346,72.43,44.046,2022-04-01T06:15:54.987034+00:00,2022-04-01T06:16:39.033420+00:00,0,0,0,
TCP-SYN-low\TCP-SYN-low\tcp syn low_1st.pcap,tcp_syn_low,attack,transport,TCP-SYN-low,tcp syn low_1st.pcap,.pcap,8119490,pcap,d4c3b2a1,2.4,1,Ethernet,262144,100371,6513530,64.89,4031.453,2022-03-17T05:22:56.766151+00:00,2022-03-17T06:30:08.218946+00:00,0,0,0,
TCP-SYN-low\TCP-SYN-low\tcp syn low_2nd.pcap,tcp_syn_low,attack,transport,TCP-SYN-low,tcp syn low_2nd.pcap,.pcap,8119122,pcap,d4c3b2a1,2.4,1,Ethernet,262144,100373,6513130,64.89,4029.923,2022-05-04T08:06:59.713174+00:00,2022-05-04T09:14:09.635693+00:00,0,0,0,
UDP flood\UDP flood\udp flood random port.pcap,udp_flood,attack,transport,UDP flood,udp flood random port.pcap,.pcap,338995662,pcap,d4c3b2a1,2.4,1,Ethernet,262144,4035627,274425606,68.0,26.228,2022-04-01T06:53:18.771967+00:00,2022-04-01T06:53:44.999735+00:00,0,0,0,
UDP flood\UDP flood\udp flood same port.pcap,udp_flood,attack,transport,UDP flood,udp flood same port.pcap,.pcap,291180992,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3466408,235718440,68.0,30.051,2022-04-01T06:57:14.945832+00:00,2022-04-01T06:57:44.996394+00:00,0,0,0,
UDP flood\UDP flood\UDP flood.pcap,udp_flood,attack,transport,UDP flood,UDP flood.pcap,.pcap,282522970,pcap,d4c3b2a1,2.4,1,Ethernet,262144,3363345,228709426,68.0,30.043,2022-04-01T06:07:54.994995+00:00,2022-04-01T06:08:25.037806+00:00,0,0,0,
